Protein.ensemblID	Protein.proID
ENSP00000291009	PR_P12273
ENSP00000493495	PR_P49711
ENSP00000363973	PR_P05186
ENSP00000379873	PR_P04439
ENSP00000313995	PR_Q9BQ90
ENSP00000497492	PR_Q9UM63
ENSP00000361686	PR_P45880
ENSP00000253407	PR_O75973
ENSP00000320219	PR_Q5FYB0
ENSP00000483234	PR_P69849
ENSP00000361784	PR_Q5T5D7
ENSP00000268661	PR_Q92901
ENSP00000267584	PR_Q96M32
ENSP00000237858	PR_P35754
ENSP00000258400	PR_P41595
ENSP00000467426	PR_Q68D06
ENSP00000482645	PR_Q15139
ENSP00000358703	PR_Q5TAB7
ENSP00000263440	PR_Q9Y672
ENSP00000303599	PR_Q96LI6
ENSP00000376987	PR_P48059
ENSP00000315915	PR_Q3ZCQ2
ENSP00000334153	PR_Q14699
ENSP00000325674	PR_Q86VI1
ENSP00000298966	PR_Q9NRQ5
ENSP00000446576	PR_Q99700
ENSP00000485880	PR_Q15528
ENSP00000387315	PR_Q9GZT8
ENSP00000354794	PR_Q96K83
ENSP00000359795	PR_Q8TF65
ENSP00000251646	PR_Q14525
ENSP00000349961	PR_Q9NTJ3
ENSP00000332757	PR_Q6P4F1
ENSP00000322731	PR_Q9HC97
ENSP00000384264	PR_P29973
ENSP00000268124	PR_P54098
ENSP00000265077	PR_P13611
ENSP00000415743	PR_P16671
ENSP00000444412	PR_Q14587
ENSP00000342851	PR_O15527
ENSP00000305608	PR_Q96H22
ENSP00000467744	PR_Q96FH0
ENSP00000359890	PR_Q9NUK0
ENSP00000278980	PR_Q86VX2
ENSP00000333534	PR_P24903
ENSP00000337705	PR_Q96IX5
ENSP00000262316	PR_Q96CC6
ENSP00000312769	PR_Q9UNP9
ENSP00000255465	PR_P78396
ENSP00000330031	PR_Q7Z3Z3
ENSP00000331602	PR_Q05655
ENSP00000401878	PR_Q8NFY9
ENSP00000265643	PR_P22466
ENSP00000483842	PR_P04908
ENSP00000253110	PR_Q9NUL5
ENSP00000387356	PR_P16112
ENSP00000498657	PR_Q9GZN2
ENSP00000356954	PR_P29279
ENSP00000356919	PR_P18850
ENSP00000264156	PR_Q14566
ENSP00000386264	PR_Q96Q45
ENSP00000349860	PR_Q06210
ENSP00000350171	PR_O95704
ENSP00000494764	PR_Q9UBM8
ENSP00000424711	PR_A0PK11
ENSP00000455026	PR_Q9UJJ7
ENSP00000498729	PR_P16455
ENSP00000405248	PR_Q12904
ENSP00000246139	PR_Q99966
ENSP00000232519	PR_Q9HBI5
ENSP00000263655	PR_Q96F85
ENSP00000370891	PR_Q8TDR2
ENSP00000487800	PR_Q6IEE7
ENSP00000326858	PR_Q5TFE4
ENSP00000301072	PR_Q9BQE3
ENSP00000366863	PR_O60343
ENSP00000400140	PR_Q96BT3
ENSP00000392553	PR_Q8NEB5
ENSP00000367189	PR_Q6UW78
ENSP00000365505	PR_Q04941
ENSP00000357812	PR_Q9Y2W6
ENSP00000441930	PR_Q9NQM4
ENSP00000362203	PR_Q8N123
ENSP00000400114	PR_O60888
ENSP00000495076	PR_P35222
ENSP00000297324	PR_Q96LL4
ENSP00000492919	PR_Q8NH74
ENSP00000377655	PR_Q9BQF6
ENSP00000304858	PR_Q8N138
ENSP00000500414	PR_P63241
ENSP00000322218	PR_Q9BZ72
ENSP00000498769	PR_Q8TD84
ENSP00000302913	PR_Q5HYK7
ENSP00000430887	PR_P61925
ENSP00000466009	PR_P01298
ENSP00000158771	PR_Q9GZP9
ENSP00000260228	PR_O60882
ENSP00000418031	PR_Q9NSK0
ENSP00000417214	PR_Q460N3
ENSP00000399013	PR_Q8WYK1
ENSP00000416706	PR_Q562R1
ENSP00000326170	PR_Q8WZ73
ENSP00000359425	PR_Q9NR82
ENSP00000330509	PR_O95424
ENSP00000292614	PR_P52435
ENSP00000467010	PR_K7EJ46
ENSP00000432046	PR_Q8N9W5
ENSP00000386633	PR_Q14192
ENSP00000481842	PR_O00422
ENSP00000385735	PR_Q99999
ENSP00000391097	PR_O95866
ENSP00000286349	PR_Q8IWZ5
ENSP00000335575	PR_Q8NGS2
ENSP00000230361	PR_Q9UMX6
ENSP00000434847	PR_Q8WUA8
ENSP00000362268	PR_Q6UXV4
ENSP00000337733	PR_Q9Y337
ENSP00000357718	PR_Q86SG5
ENSP00000373487	PR_P05783
ENSP00000285879	PR_O60732
ENSP00000401946	PR_Q9UPQ9
ENSP00000328264	PR_P35372
ENSP00000323795	PR_Q5T0J7
ENSP00000368710	PR_P50749
ENSP00000265713	PR_Q92794
ENSP00000388731	PR_P28290
ENSP00000405987	PR_A4D1F6
ENSP00000486084	PR_Q6L8H4
ENSP00000491181	PR_Q96C03
ENSP00000379738	PR_A8MTB9
ENSP00000355064	PR_Q96DD7
ENSP00000481495	PR_Q9GZR7
ENSP00000456785	PR_Q9NQU5
ENSP00000383145	PR_A8K8P3
ENSP00000252804	PR_Q92626
ENSP00000292841	PR_Q6P3V2
ENSP00000225842	PR_P22362
ENSP00000300413	PR_P62314
ENSP00000252936	PR_Q9BSJ2
ENSP00000359873	PR_Q96MM7
ENSP00000385207	PR_Q99999
ENSP00000385807	PR_Q8IZ69
ENSP00000360161	PR_Q96DT6
ENSP00000304032	PR_Q9NSY2
ENSP00000460369	PR_A8MTY7
ENSP00000311768	PR_Q9Y5V0
ENSP00000344855	PR_Q8N1E6
ENSP00000359645	PR_P38159
ENSP00000400717	PR_Q14344
ENSP00000377212	PR_P09131
ENSP00000359034	PR_Q5VTL7
ENSP00000348010	PR_Q86UA1
ENSP00000265245	PR_Q9H089
ENSP00000356687	PR_Q5TAH2
ENSP00000384401	PR_P08172
ENSP00000378431	PR_Q13201
ENSP00000419454	PR_Q96D59
ENSP00000395230	PR_P98170
ENSP00000386509	PR_Q4J6C6
ENSP00000261558	PR_Q9H0R1
ENSP00000248899	PR_Q15080
ENSP00000386238	PR_Q9Y376
ENSP00000461813	PR_Q99732
ENSP00000310933	PR_Q8WXG6
ENSP00000495040	PR_P81534
ENSP00000387259	PR_Q9NYL2
ENSP00000321625	PR_A9UHW6
ENSP00000247005	PR_P27539
ENSP00000259239	PR_Q96G21
ENSP00000339245	PR_Q96MU7
ENSP00000363280	PR_Q8TAL5
ENSP00000288177	PR_P17023
ENSP00000478242	PR_Q96MH6
ENSP00000351245	PR_Q8N556
ENSP00000265094	PR_Q9UKB1
ENSP00000366337	PR_Q9GZK4
ENSP00000292574	PR_Q8IYK2
ENSP00000245663	PR_Q86UZ6
ENSP00000495742	PR_Q9P0S9
ENSP00000321386	PR_Q8N4B4
ENSP00000217246	PR_A1Z1Q3
ENSP00000234453	PR_Q9HB20
ENSP00000318607	PR_Q86YD5
ENSP00000258281	PR_O75529
ENSP00000398056	PR_O00299
ENSP00000348538	PR_Q9H0Z9
ENSP00000443988	PR_Q9H7L9
ENSP00000362207	PR_Q7LGC8
ENSP00000312618	PR_Q9H845
ENSP00000315791	PR_Q12996
ENSP00000468977	PR_P49771
ENSP00000374370	PR_P11277
ENSP00000301727	PR_Q66K89
ENSP00000500934	PR_Q5TF39
ENSP00000373363	PR_Q8NBJ4
ENSP00000454903	PR_H3BNL1
ENSP00000432029	PR_E9PIF3
ENSP00000493365	PR_Q8WZ84
ENSP00000253413	PR_P36543
ENSP00000406143	PR_O77932
ENSP00000468156	PR_Q12906
ENSP00000276198	PR_P28335
ENSP00000360824	PR_Q5T7R7
ENSP00000396493	PR_P19021
ENSP00000262794	PR_Q9BXT6
ENSP00000456378	PR_Q68CK6
ENSP00000492037	PR_Q9UHF7
ENSP00000365926	PR_Q969G6
ENSP00000358421	PR_P14060
ENSP00000259930	PR_Q9C019
ENSP00000331487	PR_Q8TAT6
ENSP00000334430	PR_Q8IZT9
ENSP00000277903	PR_Q14520
ENSP00000457870	PR_Q9BVC4
ENSP00000248948	PR_Q9UKI3
ENSP00000221486	PR_O75792
ENSP00000361811	PR_Q9Y2B4
ENSP00000357683	PR_Q9Y3Y2
ENSP00000379247	PR_O14965
ENSP00000485028	PR_Q9H3R2
ENSP00000378074	PR_O00337
ENSP00000330393	PR_P48357
ENSP00000261381	PR_Q86Y38
ENSP00000480834	PR_Q6PG37
ENSP00000450565	PR_Q14626
ENSP00000289473	PR_P14598
ENSP00000266673	PR_Q96HH6
ENSP00000387100	PR_Q4KMQ1
ENSP00000368976	PR_Q9BVG8
ENSP00000358501	PR_P19256
ENSP00000242719	PR_Q9Y3C5
ENSP00000376438	PR_Q9NPI9
ENSP00000258742	PR_O15504
ENSP00000381005	PR_P60328
ENSP00000460172	PR_Q9BRA0
ENSP00000329614	PR_P58557
ENSP00000466285	PR_P59045
ENSP00000324181	PR_Q9UKR0
ENSP00000287907	PR_P47898
ENSP00000492892	PR_Q5JQS5
ENSP00000428378	PR_Q8N3V7
ENSP00000434570	PR_Q5TF21
ENSP00000272367	PR_Q8N1N0
ENSP00000371686	PR_Q9Y5R5
ENSP00000377409	PR_P07988
ENSP00000384900	PR_O75477
ENSP00000366970	PR_Q99678
ENSP00000414109	PR_Q8NCD3
ENSP00000196551	PR_P46782
ENSP00000332500	PR_Q8N0Y3
ENSP00000359567	PR_P41225
ENSP00000393817	PR_Q9NQX6
ENSP00000338862	PR_Q8TDN6
ENSP00000431538	PR_P25189
ENSP00000339356	PR_A4D1S0
ENSP00000441999	PR_O75953
ENSP00000337088	PR_O00255
ENSP00000384044	PR_Q92565
ENSP00000382856	PR_P0CJ71
ENSP00000278888	PR_Q01362
ENSP00000272317	PR_P62979
ENSP00000388299	PR_P0CI26
ENSP00000483895	PR_P15382
ENSP00000499674	PR_Q9P2N6
ENSP00000259939	PR_Q7Z419
ENSP00000354111	PR_Q9H3Z4
ENSP00000378476	PR_Q5MAI5
ENSP00000266068	PR_Q9UKD1
ENSP00000330148	PR_Q9ULK0
ENSP00000263620	PR_Q99856
ENSP00000292431	PR_Q96RE7
ENSP00000341838	PR_P19429
ENSP00000268957	PR_P50616
ENSP00000256429	PR_Q9UBB5
ENSP00000479816	PR_Q6P3S1
ENSP00000361597	PR_Q9BR10
ENSP00000356125	PR_Q9H093
ENSP00000358400	PR_Q9NU22
ENSP00000495438	PR_Q14954
ENSP00000383188	PR_O95427
ENSP00000307940	PR_P13639
ENSP00000412219	PR_P35222
ENSP00000483305	PR_Q8N9U0
ENSP00000421294	PR_A4FU49
ENSP00000296677	PR_P55085
ENSP00000346466	PR_A4D1P6
ENSP00000215781	PR_P13725
ENSP00000487714	PR_A0A0G2JMI3
ENSP00000352329	PR_P05230
ENSP00000443017	PR_P62805
ENSP00000355802	PR_P07099
ENSP00000366161	PR_O76080
ENSP00000490926	PR_P0DMR1
ENSP00000436089	PR_P02511
ENSP00000381115	PR_A8K830
ENSP00000360299	PR_Q5T601
ENSP00000273130	PR_Q9Y6G9
ENSP00000261669	PR_Q9H9S4
ENSP00000257951	PR_Q9NSB2
ENSP00000410227	PR_O95918
ENSP00000400452	PR_P04075
ENSP00000380605	PR_Q8N2G4
ENSP00000262302	PR_Q9Y5Y2
ENSP00000353238	PR_P16150
ENSP00000344801	PR_Q9UI40
ENSP00000403104	PR_Q6IA17
ENSP00000378557	PR_Q9Y4D1
ENSP00000366271	PR_Q8NHM5
ENSP00000381250	PR_Q13790
ENSP00000374467	PR_Q09428
ENSP00000261531	PR_Q13573
ENSP00000264664	PR_O15520
ENSP00000381904	PR_Q99712
ENSP00000356836	PR_P14859
ENSP00000480542	PR_Q9Y2V2
ENSP00000254900	PR_Q9H0E9
ENSP00000234296	PR_Q13416
ENSP00000033079	PR_Q9NYF5
ENSP00000490960	PR_Q3ZM63
ENSP00000459615	PR_O75044
ENSP00000476100	PR_Q6ZYL4
ENSP00000427583	PR_Q8TC20
ENSP00000383840	PR_Q9Y4U1
ENSP00000402914	PR_A0A0C4DH55
ENSP00000464080	PR_Q9BQA9
ENSP00000393471	PR_O75528
ENSP00000319370	PR_Q9NPA1
ENSP00000356162	PR_Q15726
ENSP00000437409	PR_Q8TC17
ENSP00000350223	PR_Q6Y2X3
ENSP00000296350	PR_P08582
ENSP00000307265	PR_Q8IU81
ENSP00000229903	PR_Q9NPB0
ENSP00000337852	PR_Q9H609
ENSP00000443911	PR_P60006
ENSP00000360200	PR_Q8NI35
ENSP00000248071	PR_Q9Y5W3
ENSP00000419395	PR_Q49AH0
ENSP00000391488	PR_P0CW24
ENSP00000473072	PR_Q96K62
ENSP00000373930	PR_Q8N163
ENSP00000361780	PR_Q9NWD9
ENSP00000386630	PR_Q06141
ENSP00000247986	PR_Q9P2E2
ENSP00000340610	PR_Q6S545
ENSP00000392062	PR_Q8WXB1
ENSP00000347324	PR_Q8IXL7
ENSP00000496668	PR_A0A2R8Y4Y8
ENSP00000327154	PR_Q5T3F8
ENSP00000362734	PR_Q5IJ48
ENSP00000445704	PR_Q86SE9
ENSP00000282308	PR_Q9Y2P7
ENSP00000279178	PR_Q8IVM8
ENSP00000372272	PR_Q3LI54
ENSP00000339976	PR_Q15573
ENSP00000255977	PR_Q9UHC7
ENSP00000385778	PR_Q8NHS4
ENSP00000377536	PR_O95997
ENSP00000343966	PR_Q8WXF1
ENSP00000006750	PR_P40259
ENSP00000381185	PR_P10415
ENSP00000282286	PR_Q9HCX3
ENSP00000418290	PR_Q8IWU5
ENSP00000301463	PR_Q8NCJ5
ENSP00000256958	PR_Q9Y6L6
ENSP00000464170	PR_Q719H9
ENSP00000381216	PR_Q92945
ENSP00000470381	PR_Q5VIY5
ENSP00000312663	PR_Q9UGM1
ENSP00000296328	PR_O94888
ENSP00000287020	PR_Q6KF10
ENSP00000299667	PR_P17036
ENSP00000253807	PR_Q9H158
ENSP00000309606	PR_Q9H9D4
ENSP00000428612	PR_Q5PT55
ENSP00000295930	PR_Q96IZ7
ENSP00000492026	PR_Q9NRY6
ENSP00000326003	PR_Q3MIT2
ENSP00000261556	PR_Q9NX78
ENSP00000304670	PR_Q5M7Z0
ENSP00000274276	PR_Q99650
ENSP00000263921	PR_Q9UKJ5
ENSP00000361064	PR_Q9UNW1
ENSP00000364008	PR_Q8TBJ4
ENSP00000398880	PR_Q9NYV4
ENSP00000337722	PR_Q9H0F7
ENSP00000358510	PR_Q9BWH2
ENSP00000164133	PR_Q15173
ENSP00000308908	PR_Q8TDV2
ENSP00000411334	PR_Q8WV99
ENSP00000263800	PR_P29376
ENSP00000499121	PR_P55055
ENSP00000354090	PR_Q08ET2
ENSP00000362542	PR_Q96A70
ENSP00000264596	PR_Q8TAT5
ENSP00000498761	PR_Q9BZ29
ENSP00000483846	PR_P59901
ENSP00000378312	PR_A4FU69
ENSP00000379878	PR_Q99932
ENSP00000302177	PR_Q6ZWT7
ENSP00000396648	PR_Q6ZRP0
ENSP00000419765	PR_Q9H8M2
ENSP00000355707	PR_Q7Z7F7
ENSP00000361644	PR_P05543
ENSP00000304553	PR_Q8TAP9
ENSP00000277165	PR_Q9NZB2
ENSP00000364603	PR_Q9BQP9
ENSP00000356746	PR_Q8IZE3
ENSP00000331465	PR_P51523
ENSP00000400482	PR_Q96MX0
ENSP00000436714	PR_P49019
ENSP00000483537	PR_Q8NCR3
ENSP00000438590	PR_Q9BSD3
ENSP00000451601	PR_Q9HCK8
ENSP00000423663	PR_Q7Z3T8
ENSP00000354485	PR_Q99759
ENSP00000221847	PR_Q14213
ENSP00000269162	PR_P38405
ENSP00000216099	PR_Q96AK3
ENSP00000374871	PR_A0A0A0MS02
ENSP00000315357	PR_Q8N6S5
ENSP00000414259	PR_Q96PV0
ENSP00000336825	PR_O00463
ENSP00000496421	PR_Q9HBG4
ENSP00000398502	PR_Q96G04
ENSP00000357861	PR_Q13228
ENSP00000366326	PR_O76041
ENSP00000308770	PR_O43704
ENSP00000437236	PR_Q9H936
ENSP00000317817	PR_Q8N5H7
ENSP00000401730	PR_Q2M3M2
ENSP00000264381	PR_P06276
ENSP00000404106	PR_Q99943
ENSP00000285298	PR_Q9Y2R5
ENSP00000494707	PR_Q5T4I8
ENSP00000340811	PR_O95377
ENSP00000478465	PR_P24071
ENSP00000363308	PR_Q8NA23
ENSP00000353129	PR_Q6ZWB6
ENSP00000313432	PR_Q9UBQ7
ENSP00000339256	PR_Q9H841
ENSP00000306279	PR_P07911
ENSP00000369912	PR_P35237
ENSP00000486881	PR_Q15418
ENSP00000355568	PR_Q7Z5L9
ENSP00000479569	PR_Q9HBL8
ENSP00000265562	PR_Q9H3S7
ENSP00000268483	PR_Q9NX01
ENSP00000354644	PR_O15085
ENSP00000357858	PR_O43684
ENSP00000301730	PR_Q15287
ENSP00000300954	PR_Q6UW60
ENSP00000498672	PR_P29972
ENSP00000257566	PR_O15119
ENSP00000451419	PR_Q92813
ENSP00000386665	PR_Q14192
ENSP00000322242	PR_Q8N5U6
ENSP00000478606	PR_Q9Y5E1
ENSP00000452014	PR_P59768
ENSP00000002165	PR_Q9BTY2
ENSP00000348827	PR_P10828
ENSP00000341885	PR_P15880
ENSP00000420860	PR_Q96LW4
ENSP00000322866	PR_Q8NH56
ENSP00000493311	PR_A6NM03
ENSP00000424636	PR_P35754
ENSP00000394623	PR_A6NNL0
ENSP00000380555	PR_O14817
ENSP00000477059	PR_Q5GH72
ENSP00000350003	PR_P51677
ENSP00000376858	PR_Q9P2D8
ENSP00000447204	PR_Q9UGF7
ENSP00000377797	PR_Q70CQ1
ENSP00000486953	PR_Q86XR5
ENSP00000481409	PR_A6NN90
ENSP00000302468	PR_Q9H857
ENSP00000312988	PR_Q15653
ENSP00000335493	PR_O60548
ENSP00000462325	PR_P49447
ENSP00000361731	PR_Q9NVG8
ENSP00000430165	PR_Q9Y5V0
ENSP00000497142	PR_P55769
ENSP00000376419	PR_Q8NBE8
ENSP00000257901	PR_P78386
ENSP00000492947	PR_Q6IF00
ENSP00000254051	PR_Q8IZW8
ENSP00000407154	PR_Q7Z5J1
ENSP00000019317	PR_Q15311
ENSP00000222747	PR_O95859
ENSP00000364404	PR_Q5H9S7
ENSP00000296412	PR_P11766
ENSP00000409979	PR_O00299
ENSP00000262430	PR_O95822
ENSP00000393005	PR_P18615
ENSP00000356211	PR_Q8IXX5
ENSP00000376309	PR_P51991
ENSP00000494310	PR_Q9BXC1
ENSP00000253812	PR_Q9Y5H0
ENSP00000481694	PR_P0CK96
ENSP00000358512	PR_Q8N8X9
ENSP00000365162	PR_Q9H1R3
ENSP00000494585	PR_Q15813
ENSP00000494977	PR_Q8NFM4
ENSP00000456533	PR_Q9BXJ0
ENSP00000310771	PR_Q14451
ENSP00000215829	PR_P62318
ENSP00000392853	PR_Q14847
ENSP00000403323	PR_Q6ZUM4
ENSP00000292616	PR_Q9UFC0
ENSP00000386972	PR_Q16602
